FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,"DFR URL"
"MECHANICAL ENG PRODUCTS CO","1319 W LAKE ST",CHICAGO,IL,110005960488,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005960488
"MEDILL INTERMEDIATE","1326 W 14TH PLACE",CHICAGO,IL,110003045507,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110003045507
"MEDILL PRIMARY","1301 W 14TH STREET",CHICAGO,IL,110003045516,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110003045516
"MEDINAH TEMPLE ASSN","600 N WABASH",CHICAGO,IL,110005925428,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005925428
"MEDLINE INDUSTRIES, LP","222 W MERCHANDISE MART PLAZA",CHICAGO,IL,110072089611,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072089611
"MEGA AUTO CARE INC","1913 N LECLAIRE",CHICAGO,IL,110058885247,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110058885247
"MEGA HOLIDAY / BURGER KING-SP775","ATTN ADRIENNE",CHICAGO,IL,110051999628,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110051999628
"MELPAP LTD DBA CM MORTON","4534 N DAMEN",CHICAGO,IL,110070161993,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070161993
"MELVILLE W FULLER SCHOOL","4214 S ST LAWRENCE AVE",CHICAGO,IL,110018203567,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018203567
"MENASHA PACKAGING CO LLC","4545 W PALMER ST",CHICAGO,IL,110063227100,N,0,0,1,Y,https://echo.epa.gov/detailed-facility-report?fid=110063227100
"MENASHA PACKAGING CO LLC","4545 W. PALMER ST.",CHICAGO,IL,110001356354,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001356354
"MENZIES OFF/WAREHOUSE EXPANS","10801 W IRVING PARK RD",CHICAGO,IL,110031268152,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110031268152
"MERCHANDISE MART PROPERTIES INC","222 MERCHANDISE MART PLAZA",CHICAGO,IL,110064160205,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110064160205
"MERCY HOSPITAL","2537 S PRAIRIE",CHICAGO,IL,110064296505,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110064296505
"MERIT GRAPHICS","1642 N BESLY CT",CHICAGO,IL,110018483853,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018483853
"MESKAN BRASS FOUNDRY","2007 N. MAJOR AVENUE",CHICAGO,IL,110001812879,N,0,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001812879
"METAL CREATIONS INC","2440 N PULASKI AVE",CHICAGO,IL,110005874811,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005874811
"METAL FINISHING RESEARCH CORP","4025 S. PRINCETON AVE.",CHICAGO,IL,110000434165,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110000434165
"METAL MAINTENANCE INC","723 OGDEN AVE",CHICAGO,IL,110018356991,N,0,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018356991
"METAL MANAGEMENT MIDWEST INC","2500 S PAULINA ST",CHICAGO,IL,110012452531,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110012452531
"METAL MANAGEMENT MIDWEST INC","350 N ARTESIAN AVE",CHICAGO,IL,110001304865,N,12,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001304865
"METAL MANAGEMENT MIDWEST INC","9331 SOUTH EWING",CHICAGO,IL,110001813048,N,12,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001813048
"METAL MANAGEMENT MIDWEST INC","12701 S DOTY AVE",CHICAGO,IL,110043571621,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110043571621
"METAL MANAGEMENT MIDWEST INC","3200 E 96TH ST",CHICAGO,IL,110018191598,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018191598
"METAL MANAGEMENT MIDWEST INC","3151 SOUTH CALIFORNIA",CHICAGO,IL,110010742740,N,12,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110010742740
"METAL MANAGEMENT MIDWEST INC",UNKNOWN,CHICAGO,IL,110011264988,N,12,2,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110011264988
"METAL MASTERS AUTO BODY INC","10247 S RIDGELAND AVE","CHICAGO RIDGE",IL,110005796647,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005796647
"METAL MASTERS CARSTAR","10235 S RIDGELAND AVE","CHICAGO RIDGE",IL,110070160945,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070160945
"METAL MGT MIDWEST ARTESIAN","350 N ARTESIAN",CHICAGO,IL,110072043807,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072043807
"METAL MGT MIDWEST EWING","9331 S EWING",CHICAGO,IL,110072043808,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072043808
METALMASTERS,"5725 NORTH RAVENSWOOD AVENUE",CHICAGO,IL,110002125986,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110002125986
