NAME,STREET,VIOLATIONS,INSPECTIONS,FORMAL_ACTIONS
ASAP PRINTING,3625 W DEVON ST,0,0,0
ASCHER BROTHERS,3033 W FLETCHER,12,1,0
ASHLAND,455 N ASHLAND AVE,0,0,0
ASHLAND & VAN BUREN AMOCO,1600 W VAN BUREN,0,0,0
"ASHLAND COLD STORAGE COMPANY, INC.",1556  WEST 43RD STREET,0,1,0
ASHLAND FOOD MART - CITGO,8510 S ASHLAND,0,0,0
ASHLAND GAS & MINI MART AKA MARATHON,649 N ASHLAND,0,0,0
ASHLAND MART CORP AKA CITGO,1530 W LAWRENCE AVE,0,0,0
ASHLAND PHILIPS 66 - KHANDWALA INC,7902 S ASHLAND & 79TH,0,0,0
ASHLEY YORKVILLE LLC - MAIN BUILDING EAST,NA,12,0,0
ASII-MENZIES AVIATION - MDW,5401 SOUTH LARAMIE,NA,5,0
"ASPHALT OPERATING SERVICES OF CHICAGO, LLC",2835 EAST 106TH STREET,12,1,0
ASPHALT OPERATING SERVICES-CHICAGO,2701 E 106TH ST,0,0,0
ASSUMPTION CHURCH,323 W ILLINOIS ST,0,0,0
ASTRO AUTO SERVICE,4956 W BELMONT AVE,0,0,0
ASYLUM,848 W EASTMAN,0,0,0
AT&T / MERRIMAC CO,5604 W BELDEN,NA,1,0
AT&T SERVICES INC,1340 W MONROE,0,0,0
AT&T SERVICES INC,3949 N LE CLAIRE AVE,0,0,0
AT&T WIRELESS NAVY PIER-WATER,600 EAST GRAND AVENUE,0,0,0
ATCO CARRIERS INC,1535 W GRAND AVE-B,0,0,0
ATHENA ANALYTICAL LABORATORY,8609 W BRYN MAWR,0,0,0
ATHLETIC FIELD PARK,3546 W ADDISON ST,0,0,0
ATLANTIC AVIATION,6150 S LARAMIE AVE,0,0,0
ATLANTIC AVIATION,5200 W 63RD ST,0,0,0
ATLANTIS ENTERPRISES INC,448 N ORLEANS ST,0,0,0
