LocationName,Measure,Data_Value,Geolocation
17031690900,COPD,8.4,POINT (-87.6103447 41.7621424)
17031271300,COPD,7.4,POINT (-87.7084528 41.877304)
17031200200,Current Asthma,9.1,POINT (-87.7356282 41.9278523)
17031220902,COPD,4.2,POINT (-87.7218357 41.9227112)
17031461000,COPD,17.1,POINT (-87.5465424 41.7273925)
17031070200,COPD,2.3,POINT (-87.646293 41.9290777)
17031061901,COPD,3.1,POINT (-87.6434679 41.9432305)
17031030900,COPD,3.5,POINT (-87.6714454 41.9797951)
17031300500,COPD,6,POINT (-87.7219393 41.8474251)
17031221400,Current Asthma,8.8,POINT (-87.694532 41.9208013)
17031020702,Current Asthma,9.1,POINT (-87.7048939 41.9941256)
17031070101,COPD,3.6,POINT (-87.6323247 41.9295225)
17031681200,Current Asthma,14.5,POINT (-87.6384976 41.7691893)
17031050900,COPD,3,POINT (-87.685778 41.9449466)
17031160100,Current Asthma,9.3,POINT (-87.7427956 41.9646282)
17031670600,COPD,11.7,POINT (-87.6715772 41.7830054)
17031301802,COPD,5.9,POINT (-87.7277592 41.8451846)
17031612100,Current Asthma,12.6,POINT (-87.6476808 41.7979128)
17031681200,COPD,11.9,POINT (-87.6384976 41.7691893)
17031060200,Current Asthma,9,POINT (-87.6715175 41.9579036)
17031491300,COPD,10.5,POINT (-87.6278036 41.6888969)
17031241000,COPD,3.2,POINT (-87.6945342 41.9079686)
17031020702,COPD,5.9,POINT (-87.7048939 41.9941256)
17031221300,COPD,2.8,POINT (-87.6997541 41.9211256)
17031661000,COPD,8.4,POINT (-87.6850469 41.7618177)
17031390500,COPD,3.9,POINT (-87.5991987 41.8059781)
17031160300,COPD,4.4,POINT (-87.7308958 41.9572681)
17031612200,Current Asthma,10.7,POINT (-87.6527194 41.8048761)
17031381800,COPD,4.8,POINT (-87.6211978 41.8038481)
17031060900,Current Asthma,8.9,POINT (-87.6417784 41.9515166)
17031140200,Current Asthma,9.3,POINT (-87.7130043 41.9706949)
17031081403,Current Asthma,8.7,POINT (-87.620956 41.8929908)
17031161100,Current Asthma,8.9,POINT (-87.738155 41.94988)
17031090100,COPD,5.1,POINT (-87.8135872 42.0152552)
17031671400,COPD,11.9,POINT (-87.6762289 41.7737921)
17031283100,COPD,4.6,POINT (-87.664092 41.8692741)
17031230700,COPD,8.7,POINT (-87.7215397 41.9063229)
17031051200,Current Asthma,9,POINT (-87.6759536 41.9414224)
17031081401,Current Asthma,8.8,POINT (-87.6197175 41.8950347)
17031010600,Current Asthma,9.9,POINT (-87.667683 42.0062774)
17031310300,Current Asthma,9.4,POINT (-87.6489782 41.8561439)
17031411100,COPD,3,POINT (-87.5897008 41.7904552)
17031430500,Current Asthma,13.7,POINT (-87.58127 41.7643139)
17031290900,COPD,9.5,POINT (-87.7324567 41.8624103)
17031140500,COPD,5.3,POINT (-87.7318319 41.9653619)
17031170900,COPD,7.9,POINT (-87.8116057 41.9361958)
17031620100,COPD,4.8,POINT (-87.7180257 41.7980175)
17031190702,Current Asthma,9.4,POINT (-87.7610395 41.9261631)
17031430600,Current Asthma,13.2,POINT (-87.571373 41.7644133)
17031230600,Current Asthma,10.6,POINT (-87.7339986 41.906155)
