COMPLAINT_TYPE,RESOLUTION,LATITUDE,LONGITUDE
Illegal Dumping Work Order,Alleged violation not found,41.89456855329,-87.70514874326
Construction and Demolition,Complaint Valid,41.99796772169,-87.6823472171
Air Pollution Work Order,Resolved,41.8822691404,-87.66519381891
Air Pollution Work Order,Complaint Valid,41.78208923684,-87.7853594315
Air Pollution Work Order,Alleged violation not found,41.96420316495,-87.78218236695
Air Pollution Work Order,Alleged violation not found,41.95796528551,-87.64915911227
Air Pollution Work Order,Alleged violation unfounded,41.67538462666,-87.57553071866
Air Pollution Work Order,Referred to another agency,41.86102789108,-87.72029125218
Air Pollution Work Order,Alleged violation not found,41.97484254453,-87.6551160793
Construction and Demolition,Resolved,41.95670398334,-87.7848517818
Air Pollution Work Order,Alleged violation not found,41.96420316495,-87.78218236695
Air Pollution Work Order,Complaint Valid,41.97452873707,-87.69233925846
Air Pollution Work Order,Resolved,41.92536303837,-87.74530883267
Air Pollution Work Order,Complaint Valid,41.71324291275,-87.55803846898
Asbestos Work Order,Resolved,41.73302615547,-87.57212216158
Air Pollution Work Order,Resolved,41.960293879,-87.67065097259
Toxics Hazardous Materials Work Order,NA,41.75013326404,-87.57824611037
Illegal Dumping Work Order,NA,41.65930073635,-87.5706473864
Noise Complaint,Alleged violation not found,41.89404225156,-87.63860308919
Air Pollution Work Order,Resolved,41.960293879,-87.67065097259
Air Pollution Work Order,Alleged violation unfounded,41.73565986116,-87.61788161297
Air Pollution Work Order,Alleged violation not found,41.84372639633,-87.65951089661
Construction and Demolition,Resolved,41.81842921071,-87.61060091456
Noise Complaint,Alleged violation not found,41.9557075707,-87.67967808903
Air Pollution Work Order,Alleged violation unfounded,41.91494584242,-87.68966296727
Noise Complaint,Resolved,41.89596553799,-87.62961514496
Illegal Dumping Work Order,Refer to StreetsSanitation,41.76311971323,-87.61172014285
Air Pollution Work Order,NA,41.70808461169,-87.54341826835
Illegal Dumping Work Order,NA,41.94555292296,-87.78636821201
Construction and Demolition,Alleged violation not found,41.71864657041,-87.57727683905
Air Pollution Work Order,Alleged violation not found,41.84832465539,-87.67343415669
Toxics Hazardous Materials Work Order,NA,41.85008154778,-87.68728493614
Illegal Dumping Work Order,NA,41.8464954425,-87.68563424728
Noise Complaint,Resolved,42.0128473324,-87.66361977753
Noise Complaint,Alleged violation not found,41.96446141408,-87.66115052986
Noise Complaint,Complaint Valid,41.83065383029,-87.64949726073
Noise Complaint,Resolved,41.93951962464,-87.83116796209
Noise Complaint,Complaint Valid,41.83065383029,-87.64949726073
Construction and Demolition,Resolved,41.85948542195,-87.66719676465
Noise Complaint,Complaint Valid,41.83065383029,-87.64949726073
Construction and Demolition,Resolved,41.90364111448,-87.70746892572
Noise Complaint,Complaint Valid,41.93561351057,-87.69260311234
Air Pollution Work Order,Alleged violation not found,41.82302765704,-87.66574403109
Illegal Dumping Work Order,NA,41.69806295248,-87.55968292118
Air Pollution Work Order,Refer to other Depts,41.66993356048,-87.54396951156
Air Pollution Work Order,Alleged violation not found,41.91467769146,-87.78718126217
Air Pollution Work Order,NA,41.83516511038,-87.71561244103
Noise Complaint,Resolved,41.89772150138,-87.62203547562
Toxics Hazardous Materials Work Order,NA,41.84475056747,-87.67579429085
Air Pollution Work Order,Alleged violation not found,41.97326832359,-87.66711253988
Air Pollution Work Order,Alleged violation not found,41.93775123839,-87.68719996608
Toxics Hazardous Materials Work Order,Resolved,41.85393551411,-87.67356321732
Air Pollution Work Order,Alleged violation not found,41.8967697344,-87.62944835451
Noise Complaint,NA,41.89278249768,-87.69310997546
Construction and Demolition,Alleged violation founded,41.92327891047,-87.68663870202
Air Pollution Work Order,Alleged violation not found,41.97180349716,-87.66126460573
Air Pollution Work Order,Complaint Valid,41.90886728702,-87.6544926316
Air Pollution Work Order,Alleged violation not found,41.95974022434,-87.66783535463
Construction and Demolition,Alleged violation unfounded,41.91465258473,-87.68383918681
Illegal Dumping Work Order,Alleged violation not found,41.94724758843,-87.73243240184
Air Pollution Work Order,Alleged violation not found,41.6986539812,-87.54241455964
Air Pollution Work Order,Alleged violation not found,41.67538462666,-87.57553071866
Construction and Demolition,Complaint Valid,41.9072220705,-87.64751036558
Construction and Demolition,Refer to Building Dept,41.89419994813,-87.6772022956
Illegal Dumping Work Order,Alleged violation founded,41.88005689012,-87.69599341432
Air Pollution Work Order,Alleged violation not found,41.84765727262,-87.67802700952
Air Pollution Work Order,Alleged violation founded,41.91491411973,-87.64946811507
Air Pollution Work Order,Referred to another agency,41.84655209334,-87.7076838987
Service Stations/Storage Tanks Work Order,Resolved,41.73621242023,-87.62401244533
Noise Complaint,Resolved,41.93584538239,-87.69269599839
Noise Complaint,Alleged violation not found,41.9557075707,-87.67967808903
Illegal Dumping Work Order,Alleged violation not found,41.85721688038,-87.65333615385
